1 | Patrat | Jolly | Cheri Berry | Super Fang | Crunch | Hypnosis | Sand-Attack | Atk/Spd
2 | Venipede | Impish | Chesto Berry | Venoshock | Struggle Bug | Protect | Toxic | Atk/Def
3 | Pidove | Jolly | Wacan Berry | Air Slash | Quick Attack | Taunt | Detect | Atk/Spd
4 | Lillipup | Adamant | Chople Berry | Crunch | Take Down | Thunder Wave | Roar | Atk/Spd
5 | Litwick | Modest | Persim Berry | Flame Burst | Confuse Ray | Will-O-Wisp | Hex | HP/SpA
6 | Roggenrola | Adamant | Shuca Berry | Smack Down | Bulldoze | Headbutt | Iron Defense | Atk/Def
7 | Cottonee | Modest | Big Root | Giga Drain | Charm | Leech Seed | PoisonPowder | HP/Def/SpD
8 | Petilil | Modest | Persim Berry | Magical Leaf | Flash | Helping Hand | Attract | HP/SpA
9 | Mienfoo | Adamant | Cheri Berry | Low Sweep | Fake Out | Quick Guard | Detect | Atk/Spd
10 | Purrloin | Docile | BlackGlasses | Night Slash | Echoed Voice | Hone Claws | Fake Out | Atk/Spd/SpA
11 | Gothita | Calm | Persim Berry | Psybeam | Charge Beam | Fake Tears | Trick Room | SpA/SpD
12 | Solosis | Modest | Quick Claw | Psywave | Round | Pain Split | Light Screen | SpA/SpD
13 | Munna | Modest | TwistedSpoon | Synchronoise | Charge Beam | Yawn | Moonlight | HP/SpA
14 | Sandile | Jolly | Persim Berry | Crunch | Bulldoze | Scary Face | Swagger | Atk/Spd
15 | Tympole | Timid | Cheri Berry | BubbleBeam | Round | Growl | Aqua Ring | Spd/SpA
16 | Foongus | Modest | Big Root | Giga Drain | Venoshock | Toxic | Ingrain | HP/SpA
17 | Blitzle | Jolly | Magnet | Spark | Quick Attack | Thunder Wave | Tail Whip | Atk/Spd
18 | Minccino | Adamant | Pecha Berry | DoubleSlap | U-turn | Encore | Tickle | Atk/Spd
19 | Klink | Impish | Binding Band | Bind | Toxic | Screech | Sandstorm | Atk/Def
20 | Deino | Adamant | Yache Berry | Dragon Tail | Headbutt | Incinerate | Roar | HP/Atk
21 | Pansage | Jolly | Sitrus Berry | Seed Bomb | Acrobatics | Leer | Grass Knot | Atk/Spd
22 | Pansear | Bashful | Passho Berry | Flame Burst | Fury Swipes | Leer | Hone Claws | Atk/Spd
23 | Panpour | Modest | Cheri Berry | Scald | Taunt | Water Sport | Leer | Spd/SpA
24 | Yamask | Modest | Ganlon Berry | Hex | Will-O-Wisp | Curse | Toxic | Def/SpA
25 | Golett | Adamant | Liechi Berry | Shadow Punch | Magnitude | Iron Defense | Curse | HP/Atk
26 | Timburr | Adamant | Payapa Berry | Low Kick | Poison Jab | Rock Throw | Scary Face | HP/Atk
27 | Ducklett | Serious | Sharp Beak | Aerial Ace | Water Pulse | FeatherDance | Defog | HP/Spd
28 | Vanillite | Calm | Petaya Berry | Icy Wind | Mirror Shot | Mist | Hail | SpA/SpD
29 | Ferroseed | Hardy | Rocky Helmet | Metal Claw | Poison Jab | Iron Defense | Ingrain | 
30 | Cubchoo | Adamant | Occa Berry | Slash | Shadow Claw | Bide | Hail | HP/Atk
31 | Shelmet | Bold | Sitrus Berry | Struggle Bug | Bide | Acid Armor | Protect | HP/Def
32 | Snivy | Adamant | Binding Band | Leaf Tornado | Wring Out | Wrap | Leech Seed | Atk/Spd
33 | Tepig | Adamant | Shuca Berry | Flame Charge | Rollout | Defense Curl | Smog | HP/Atk
34 | Oshawott | Adamant | Wacan Berry | Razor Shell | Aqua Jet | Revenge | Tail Whip | HP/Atk
35 | Sewaddle | Impish | SilverPowder | Bug Bite | Razor Leaf | String Shot | Grass Knot | Atk/Def
36 | Woobat | Modest | Cheri Berry | Air Cutter | Psyshock | Attract | Odor Sleuth | Spd/SpA
37 | Darumaka | Adamant | Persim Berry | Fire Fang | Headbutt | Rock Tomb | Protect | HP/Atk
38 | Karrablast | Jolly | Coba Berry | Fury Cutter | Aerial Ace | Flail | Endure | Atk/Spd
39 | Joltik | Jolly | Liechi Berry | Electroweb | Bug Bite | String Shot | Gastro Acid | Atk/Spd
40 | Axew | Adamant | Yache Berry | Dual Chop | Slash | Taunt | Leer | Atk/Spd
41 | Dwebble | Impish | Ring Target | Bug Bite | Smack Down | Double Team | Sand-Attack | Atk/Def
42 | Tynamo | Hardy | Razor Fang | Charge Beam | Spark | Thunder Wave | Tackle | Atk/SpA
43 | Drilbur | Adamant | Rindo Berry | Dig | Metal Claw | Rapid Spin | Sandstorm | Atk/Spd
44 | Trubbish | Hardy | Payapa Berry | Acid Spray | Toxic Spikes | Stockpile | Swallow | 
45 | Zorua | Adamant | BlackGlasses | Foul Play | Aerial Ace | Pursuit | Leer | Atk/Spd
46 | Deerling | Adamant | Pecha Berry | Double Kick | Faint Attack | Sand-Attack | Leech Seed | Atk/Spd
47 | Frillish | Calm | Sitrus Berry | BubbleBeam | Night Shade | Attract | Flash | SpA/SpD
48 | Elgyem | Modest | Persim Berry | Psybeam | Charge Beam | Simple Beam | Heal Block | HP/SpA
49 | Pawniard | Impish | Chople Berry | Faint Attack | Metal Claw | Torment | Iron Defense | Atk/Def
50 | Scraggy | Impish | Sitrus Berry | Low Sweep | Low Kick | Chip Away | Facade | Atk/Def
51 | Rufflet | Jolly | Sharp Beak | Aerial Ace | Fury Attack | Scary Face | Defog | Atk/Spd
52 | Krokorok | Jolly | Soft Sand | Bulldoze | Crunch | Sand-Attack | Torment | Atk/Spd
53 | Tirtouga | Impish | Shell Bell | Aqua Jet | Smack Down | Wide Guard | Shell Smash | Atk/Def
54 | Tranquill | Impish | Cheri Berry | Air Cutter | Quick Attack | Taunt | Detect | Atk/Spd
55 | Whirlipede | Impish | Coba Berry | Poison Tail | Bug Bite | Rollout | Defense Curl | Def/SpD
56 | Larvesta | Adamant | Chesto Berry | Flame Charge | Bug Bite | Amnesia | Will-O-Wisp | Atk/Spd
57 | Duosion | Modest | Focus Band | Psywave | Round | Recover | Light Screen | HP/SpA
58 | Lampent | Modest | Absorb Bulb | Flame Burst | Hex | Confuse Ray | Will-O-Wisp | HP/SpA
59 | Vullaby | Adamant | Cheri Berry | Pluck | Faint Attack | Flatter | Tailwind | Atk/Def
60 | Herdier | Adamant | Silk Scarf | Take Down | Crunch | Odor Sleuth | Roar | Atk/Spd
61 | Swadloon | Impish | Occa Berry | Razor Leaf | Bug Bite | GrassWhistle | String Shot | Atk/Def
62 | Palpitoad | Timid | Rindo Berry | Round | BubbleBeam | Mud Shot | Supersonic | Spd/SpA
63 | Boldore | Adamant | Rocky Helmet | Smack Down | Headbutt | Sand-Attack | Iron Defense | Atk/Def
64 | Gothorita | Hardy | Persim Berry | Psybeam | Charge Beam | Future Sight | Fake Tears | 
65 | Vanillish | Modest | Pecha Berry | Icy Wind | Mirror Shot | Taunt | Acid Armor | SpA/SpD
66 | Archen | Adamant | Wacan Berry | Rock Slide | Pluck | Double Team | Scary Face | Atk/Spd
67 | Patrat | Jolly | Razor Fang | Hyper Fang | Slam | Crunch | Hypnosis | Atk/Spd
68 | Venipede | Impish | Poison Barb | Sludge Bomb | Steamroller | Payback | Screech | Atk/Def
69 | Pidove | Jolly | Scope Lens | Fly | Facade | Swagger | FeatherDance | Atk/Spd
70 | Lillipup | Adamant | Silk Scarf | Return | Retaliate | Aerial Ace | Roar | Atk/Spd
71 | Litwick | Modest | Quick Claw | Shadow Ball | Inferno | Pain Split | Memento | HP/SpA
72 | Roggenrola | Adamant | Smooth Rock | Stone Edge | Earthquake | Iron Defense | Sandstorm | Atk/Def
73 | Cottonee | Bold | Big Root | Giga Drain | Double Team | Cotton Guard | Leech Seed | Def/SpD
74 | Petilil | Modest | Rose Incense | Energy Ball | Round | Grass Knot | Sleep Powder | HP/SpA
