 406|Abomasnow|Calm|Lum Berry|Giga Drain|Ice Beam|Water Pulse|GrassWhistle|HP/SpA
542|Abomasnow|Bold|Big Root|Giga Drain|Sheer Cold|Ingrain|Leech Seed|HP/Def/SpD
678|Abomasnow|Quiet|Occa Berry|Energy Ball|Blizzard|Shadow Ball|Focus Blast|HP/SpA
814|Abomasnow|Brave|Shell Bell|Wood Hammer|Avalanche|Earthquake|Rock Slide|HP/Atk
374|Absol|Jolly|Chople Berry|Sucker Punch|Facade|Double Team|Taunt|Atk/Spe
510|Absol|Adamant|Quick Claw|Punishment|Swagger|Attract|Thunder Wave|HP/Atk
646|Absol|Jolly|Razor Claw|Night Slash|Psycho Cut|X-Scissor|Aerial Ace|Atk/Spe
782|Absol|Adamant|Choice Band|Night Slash|Superpower|Giga Impact|Zen Headbutt|Atk/Spe
443|Aerodactyl|Jolly|King's Rock|Rock Slide|Aerial Ace|Torment|Taunt|Atk/Spe
579|Aerodactyl|Jolly|Razor Fang|Bite|Fire Fang|Thunder Fang|Ice Fang|Atk/Spe
715|Aerodactyl|Adamant|Yache Berry|Giga Impact|Earthquake|Rock Slide|Crunch|Atk/Spe
851|Aerodactyl|Adamant|Choice Band|Stone Edge|Aerial Ace|Earthquake|Dragon Claw|Atk/Spe
463|Aggron|Adamant|Quick Claw|Iron Head|Rock Slide|Sandstorm|Screech|Atk/Def
599|Aggron|Adamant|Quick Claw|Metal Claw|Fire Punch|ThunderPunch|Ice Punch|Atk/Def
735|Aggron|Adamant|Muscle Band|Iron Tail|Dragon Rush|Avalanche|Aerial Ace|Atk/Def
871|Aggron|Adamant|Focus Sash|Metal Burst|Stone Edge|Earthquake|Shadow Claw|Atk/Def
105|Aipom|Adamant|Silk Scarf|Double Hit|U-turn|Thunder Wave|Fake Out|Atk/Spe
401|Alakazam|Timid|Brightpowder|Psychic|Shadow Ball|Calm Mind|Future Sight|SpA/Spe
537|Alakazam|Modest|Colbur Berry|Psychic|Focus Blast|Charge Beam|Recover|SpA/Spe
673|Alakazam|Timid|Wise Glasses|Psychic|Charge Beam|Signal Beam|Grass Knot|SpA/Spe
809|Alakazam|Modest|Expert Belt|Psychic|Shadow Ball|Energy Ball|Focus Blast|SpA/Spe
404|Altaria|Careful|Chesto Berry|Dragon Claw|Aerial Ace|Dragon Dance|Rest|Atk/SpD
540|Altaria|Modest|Shell Bell|Dragon Pulse|Ominous Wind|Sing|Perish Song|SpA/SpD
